r_no	u_no	m_no	r_setname	r_price	r_people	r_time	r_date
1	4	25	I1,I2	27000	2	9:00	2025-09-10
2	10	22	E5	15000	1	9:00	2025-09-15
3	4	8	F5,F6	30000	2	3:00	2025-09-08
4	8	16	G4,G5,G6	42000	3	12:00	2025-09-06
5	2	9	H3,H4,H5	45000	3	0:00	2025-09-22
6	3	21	H3	15000	1	3:00	2025-09-15
7	7	8	I5,I6,I7	36000	3	3:00	2025-09-12
8	3	6	D1,D2	30000	2	21:00	2025-09-02
9	8	23	F8,F9	24000	2	12:00	2025-09-10
10	2	2	G7	15000	1	15:00	2025-09-18
11	2	24	C5	15000	1	18:00	2025-09-09
12	9	18	G3	15000	1	12:00	2025-09-10
13	4	28	I1,I2	24000	2	15:00	2025-09-04
14	4	12	F4	15000	1	0:00	2025-09-10
15	7	34	B3,B4	30000	2	12:00	2025-09-09
16	4	2	D5	12000	1	18:00	2025-09-13
17	10	3	D9	15000	1	3:00	2025-09-07
18	10	27	A5	15000	1	15:00	2025-09-10
19	9	1	E8,E9	27000	2	15:00	2025-09-04
20	8	32	H4,H5,H6	39000	3	15:00	2025-09-11
21	2	21	B6	15000	1	3:00	2025-09-09
22	1	23	G7	12000	1	12:00	2025-09-05
23	8	29	E3,E4	27000	2	18:00	2025-09-11
24	10	21	I5,I6,I7	45000	3	3:00	2025-09-13
25	7	11	I9	15000	1	21:00	2025-09-08
26	10	23	E5	15000	1	12:00	2025-09-16
27	10	5	A5	15000	1	0:00	2025-09-05
28	8	36	I5	12000	1	21:00	2025-09-10
29	6	10	A6	12000	1	9:00	2025-09-12
30	8	16	F4,F5,F6	42000	3	12:00	2025-09-12
31	2	1	A9	15000	1	21:00	2025-09-02
32	1	9	D7	12000	1	9:00	2025-09-09
33	3	5	G5	15000	1	0:00	2025-09-10
34	3	13	B1,B2	24000	2	0:00	2025-09-11
35	7	31	I3,I4,I5	42000	3	18:00	2025-09-08
36	5	35	I8	12000	1	18:00	2025-09-08
37	9	1	G4,G5	30000	2	21:00	2025-09-14
38	3	27	B8,B9	30000	2	9:00	2025-09-07
39	4	8	B8,B9	30000	2	3:00	2025-09-11
40	6	33	H3	12000	1	15:00	2025-09-07
41	3	4	C4,C5,C6	45000	3	18:00	2025-09-17
42	1	1	A3	12000	1	9:00	2025-09-02
43	9	8	E3,E4,E5	39000	3	3:00	2025-09-10
44	9	13	E4,E5,E6	45000	3	0:00	2025-09-14
45	4	18	D3,D4,D5	45000	3	12:00	2025-09-19
46	5	9	I4,I5,I6	36000	3	9:00	2025-09-09
47	1	3	I3	12000	1	21:00	2025-09-20
48	7	7	A3,A4	30000	2	0:00	2025-09-10
49	2	2	A3	15000	1	18:00	2025-09-11
50	10	11	H3,H4	24000	2	12:00	2025-09-09
51	1	12	I3	12000	1	21:00	2025-09-13
52	6	14	C3	12000	1	18:00	2025-09-21
53	9	20	A5,A6	30000	2	9:00	2025-09-12
54	10	20	B2	15000	1	9:00	2025-09-12
55	5	31	H4,H5	27000	2	21:00	2025-09-16
56	9	16	E3	15000	1	12:00	2025-09-17
57	9	5	I8	15000	1	0:00	2025-09-17
58	3	12	E6	12000	1	12:00	2025-09-03
59	8	18	G5,G6	24000	2	12:00	2025-09-13
60	5	30	H1,H2	24000	2	18:00	2025-09-12
61	2	26	H5	15000	1	21:00	2025-09-21
62	9	2	D7	12000	1	15:00	2025-09-18
63	4	35	I4,I5,I6	45000	3	18:00	2025-09-23
64	4	27	B3	15000	1	15:00	2025-09-20
65	6	3	H4,H5,H6	39000	3	12:00	2025-09-24
66	4	10	F8,F9	45000	3	9:00	2025-09-21
67	1	36	G6	12000	1	12:00	2025-09-24
68	7	16	I6,I7	30000	2	12:00	2025-09-16
69	3	16	D4,D5	30000	2	9:00	2025-09-25
70	6	5	E6	12000	1	21:00	2025-09-26
71	2	6	F6	15000	1	3:00	2025-09-22
72	2	2	C6	12000	1	0:00	2025-09-17
73	1	35	C5	12000	1	18:00	2025-09-22
74	1	30	A4,A5	24000	2	15:00	2025-09-29
75	3	14	D8,D9	27000	2	0:00	2025-09-25
76	1	30	B4,B5,B6	36000	3	18:00	2025-09-28
77	3	5	A5,A6,A7	42000	3	18:00	2025-09-23
78	7	14	H5,H6	27000	2	0:00	2025-09-19
79	3	18	E3,E4	27000	2	12:00	2025-09-21
80	3	16	I7	15000	1	9:00	2025-09-18
81	5	22	A7	12000	1	9:00	2025-09-16
82	6	5	C4,C5,C6	36000	3	0:00	2025-09-16
83	2	18	E7	15000	1	0:00	2025-09-12
84	9	35	G4,G5	30000	2	9:00	2025-09-23
85	7	22	B5	15000	1	9:00	2025-09-15
86	5	14	F6,F7	24000	2	15:00	2025-09-23
87	5	32	B4,B5	27000	2	15:00	2025-09-09
88	5	19	B3,B4,B5	36000	3	15:00	2025-09-10
89	4	24	I5,I6	30000	2	12:00	2025-09-20
90	10	2	A6	15000	1	15:00	2025-09-19
91	6	12	D3,D4,D5	27000	2	21:00	2025-09-06
92	5	3	F3,F4,F5	36000	3	12:00	2025-09-23
93	1	29	F4	12000	1	15:00	2025-09-22
94	2	14	F6	15000	1	18:00	2025-09-20
95	9	9	B3,B4,B5	45000	3	3:00	2025-09-17
96	7	9	B5,B6	30000	2	3:00	2025-09-24
97	10	16	H3,H4	30000	2	12:00	2025-09-08
98	7	36	F7	15000	1	21:00	2025-09-18
99	3	11	A7	15000	1	12:00	2025-09-11
100	7	7	C4,C5,C6	45000	3	18:00	2025-09-20
101	6	26	I4,I5,I6	12000	1	15:00	2025-09-26
102	4	25	E4,E5,E6	42000	3	21:00	2025-09-23
103	8	1	I3	12000	1	21:00	2025-09-11
104	9	9	A1,A2	30000	2	21:00	2025-09-16
105	1	15	A3,A4	24000	2	3:00	2025-09-18
106	9	17	C5,C6	27000	2	15:00	2025-09-15
107	10	29	C6	15000	1	3:00	2025-09-22
108	4	17	G1,G2	30000	2	15:00	2025-09-11
109	1	36	A8,A9	24000	2	15:00	2025-09-08
110	9	19	A7	15000	1	15:00	2025-09-12
111	8	25	E8,E9	36000	3	9:00	2025-09-06
112	10	19	A3,A4,A5	45000	3	15:00	2025-09-15
113	3	19	E4,E5,E6	45000	3	15:00	2025-09-10
114	10	22	B8,B9	30000	2	9:00	2025-09-03
