srm_no	srm_type	srm_srmno
1	1	NULL
2	2	2
3	1	NULL
4	1	NULL
5	1	NULL
6	1	NULL
7	1	NULL
8	2	3
9	1	NULL
10	1	NULL
11	0	NULL
12	0	NULL
13	0	NULL
14	1	NULL
15	0	NULL
16	0	NULL
17	0	NULL
18	1	NULL
19	1	NULL
20	1	NULL
21	1	NULL
22	0	NULL
23	0	NULL
24	0	NULL
25	1	NULL
26	1	NULL
27	1	NULL
28	2	1
29	0	NULL
30	1	NULL
31	1	NULL
32	0	NULL
33	1	NULL
34	0	NULL
35	0	NULL
36	2	4
37	1	NULL
38	0	NULL
39	0	NULL
40	0	NULL
41	0	NULL
42	0	NULL
43	0	NULL
44	1	NULL
45	1	NULL
46	1	NULL
47	0	NULL
48	0	NULL
49	1	NULL
50	0	NULL
51	1	NULL
52	0	NULL
53	0	NULL
54	1	NULL
55	1	NULL
56	0	NULL
57	0	NULL
58	1	NULL
59	0	NULL
60	0	NULL
61	1	NULL
62	0	NULL
63	1	NULL
64	1	NULL
65	0	NULL
66	0	NULL
67	1	NULL
68	1	NULL
69	0	NULL
70	1	NULL
71	0	NULL
72	2	5
73	3	NULL
74	0	NULL
75	0	NULL
76	1	NULL
77	1	NULL
78	2	6
79	1	NULL
80	1	NULL
81	1	NULL
