fb_no	u_no	f_no	fb_num
1	7	9	1
2	3	5	1
3	1	12	3
4	9	13	1
5	3	11	2
6	7	5	1
7	2	2	2
8	4	8	1
9	10	3	3
10	2	12	2
11	8	3	2
12	4	12	2
13	10	9	1
14	6	1	1
15	1	11	1
16	5	4	1
17	9	1	3
18	4	13	2
19	10	7	1
20	6	2	1
21	1	11	2
22	7	9	2
23	2	5	1
24	8	13	1
25	3	2	1
26	9	4	1
27	4	8	3
28	5	13	1
29	10	9	3
30	6	10	2
31	1	10	3
32	8	11	1
33	3	4	2
34	7	2	1
35	2	9	1
36	5	5	2
37	9	2	2
38	4	13	1
39	10	2	1
40	6	5	2
41	1	8	1
42	7	2	1
43	2	13	2
44	8	2	3
45	3	4	3
46	9	4	1
47	4	13	2
48	5	13	3
49	10	9	3
50	6	12	1
51	1	12	1
52	8	10	2
53	3	12	2
54	7	10	3
55	2	12	3
56	5	13	2
57	4	12	1
