m_no	m_name	l_no	m_dir	m_plot	g_no	m_startday	m_endday	srm_srmno
1	하얼빈	3	우민호	"1908년 함경북도 신아산에서
안중근이 이끄는 독립군들은 일본군과의 전투에서
큰 승리를 거둔다.
대한의군 참모중장 안중근은 만국공법에 따라
전쟁포로인 일본인들을 풀어주게 되고,
이 사건으로 인해 독립군 사이에서는
안중근에 대한 의심과 함께 균열이 일기 시작한다.

1년 후, 블라디보스토크에는 안중근을 비롯해
우덕순, 김상현, 공부인, 최재형, 이창섭 등
빼앗긴 나라를 되찾기 위해 마음을 함께하는 이들이 모이게 된다.
이토 히로부미가 러시아와 협상을 위해
하얼빈으로 향한다는 소식을 접한 안중근과 독립군들은
하얼빈으로 향하고,
내부에서 새어 나간 이들의 작전 내용을 입수한
일본군들의 추격이 시작되는데…

하얼빈을 향한 단 하나의 목표,
늙은 늑대를 처단하라"	5	2025-09-01	2025-09-15	3
2	파라다이스 이즈 버닝	4	미카 구스타프슨	"“뒤지고 싶으면 건드려 봐”

16살 로라에게 미라와 스테피는 자신이 지켜야 할 존재들이다.

가장 아끼는 사람들이고, 가진 것 중 최고로 소중한 것이다.

그러므로 절대 뺏길 수 없다. 절대, 절대로, 헤어지지 않을 것이다.

설사 자신이 나쁜 사람이 된다 해도.

 

“혼자 마음대로 사는 게 누군데?”

12살 미라는 요즘 외롭다. 틱틱거리지만 다정했던 언니 로라가

요즘은 뭘 하는지 꽁꽁 숨긴 채 밖으로만 나돌고

자신과 스테피는 안중에도 없는 것만 같다. 미라는 언니가 필요한데.

언니에게도 미라가 필요했으면 좋겠는데.

 

“우리 언니 건들지 마”

모두들 7살 스테피를 아무것도 모르는 철부지 어린아이라고 생각하겠지?

하지만 스테피는 사실 다 안다. 무언가 언니들을 힘들게 하고 있다는걸!

언니들을 괴롭히는 것들은 전부 X까! 스테피가 혼내줄 테니까!"	7	2025-09-01	2025-09-19	4
3	보고타: 마지막 기회의 땅	3	김성제	"희망 없는 인생,
기회는 바로 그 곳에 있었다.

1997년 IMF의 후폭풍을 피하지 못한
국희(송중기)와 가족들은 지구 반대편 콜롬비아 보고타로 향한다.
낯선 땅에서 살아남기 위해,
한인 상인회의 권력을 쥔 박병장(권해효) 밑에서 일을 시작한 국희.
성실함으로 박병장의 눈에 띈 국희는
박병장의 테스트로 의류 밀수 현장에 가담하게 되고,
콜롬비아 세관에게 걸릴 위기 상황 속에서
목숨 걸고 박병장의 물건을 지켜내며
박병장은 물론 통관 브로커 수영(이희준)에게도
강렬하게 존재감을 각인시킨다.
곧 수영이 국희에게 위험한 제안을 하고,
이를 눈치 챈 박병장 또한
새로운 계획을 세우며 국희를 시험에 들게 한다.
본인의 선택으로 보고타 한인 사회의 판도를 바꿀 수 있음을 체감한 국희는
점점 더 큰 성공을 열망하게 되는데…"	5	2025-09-03	2025-09-30	4
4	소방관	2	곽경택	"살리기 위해, 살아남기 위해 하루하루가 마지막 현장인 소방관 팀은
열악한 환경 속에서도 화재 진압과
전원 구조라는 단 하나의 목표로 의기투합한다.
어느 날, 다급하게 119 신고 전화로
홍제동에 화재가 발생했다는 긴급 상황이 접수되자
팀원들은 위기를 직감하는데…

누군가의 가족, 친구, 사랑하는 사람
우리가 기억해야 할 그 이름
<소방관>
2001년 가장 빛났던 그들의 이야기를 기억하겠습니다."	7	2025-09-04	2025-09-18	3
5	해리 포터와 죽음의 성물1	1	데이빗 예이츠	"올 겨울, 목숨을 건 대결이 시작된다!

 

덤블도어 교장의 죽음 이후,
마법부는 죽음을 먹는 자들에게 점령당하고 호그와트는 위기에 빠진다.

이에 해리와 론, 헤르미온느는
볼드모트를 물리칠 수 있는 유일한 단서이자
그의 영혼이 담긴 성물 호크룩스를 찾기 위한 위험한 여정에 나선다.

그러나 영혼이 연결되어 있는 볼드모트와 해리.
볼드모트를 파괴하면 해리의 목숨 또한 위태로워질지 모른다!

죽느냐 죽이느냐, 이제 그 마지막 대결은 극한을 향해 치닫는데…"	14	2025-09-05	2025-09-26	1
6	극장판 짱구는 못말려: 우리들의 공룡일기	1	사사키 시노부	"다이노스 아일랜드에 어서 오세요!
멸종된 공룡을 현대에 부활시킨 테마파크 다이노스 아일랜드 오픈!
떡잎마을은 물론, 전국이 공룡 열풍에 빠져든다!

그 무렵, 흰둥이는 어디선가 작은 공룡 나나를 발견한다.
나나는 짱구네 집의 새로운 가족이자
떡잎마을 방범대의 친구가 되어 아주 특별한 방학을 보내게 된다.

한편, 자신이 나나의 주인이라는 빌리가 나타나 나나를 데려가겠다 하고
다이노스 아일랜드 창립자 버블 어마무시와 그의 수하들도
수단과 방법을 가리지 않고 나나와 짱구를 쫓는다.
설상가상으로 다이노스 아일랜드의 공룡들이 탈출해
떡잎마을은 물론 도시 전역을 쑥대밭으로 만들어버리는데…!

나나를 지키기 위한 짱구, 흰둥이, 떡잎마을 방범대의 사투가 시작된다!

지킬 거야, 나의 소중한 인연!
초거대 공룡들과 맞서는 지구에서 가장 다이노믹한 짱구가 온다!"	3	2025-09-01	2025-09-25	1
7	모아나 2	1	데이비드 데릭 주니어	"선조들로부터 예기치 못한 부름을 받은 ‘모아나’가
부족의 파괴를 막기 위해 전설 속 영웅 ‘마우이’와
새로운 선원들과 함께 숨겨진 고대 섬의 저주를 깨러 떠나는
위험천만한 모험을 담은 스펙터클 오션 어드벤처"	3	2025-09-07	2025-09-21	5
8	카인의 도시	4	송창수	"탐사보도 기자로 연일 최고의 시청률을 찍는
남녀 주인공이 조작된 제보로 인해
수렁에 빠지게 되면서 벌어지는 이야기를 그린 극영화"	20	2025-09-08	2025-09-22	5
9	더 폴: 디렉터스 컷	2	타셈 싱	"무성영화 시대의 할리우드를 배경으로,
스턴트맨 ‘로이’는 같은 병원에 입원한 호기심 많은 어린 소녀 ‘알렉산드리아’와 친구가 되고,
매일 다섯 무법자의 환상적인 모험 이야기를 해준다.
이야기는 현실과 상상이 뒤섞이면서 ‘알렉산드리아’를 신비의 세계로 데려간다."	7	2025-09-09	2025-09-30	2
10	시빌 워: 분열의 시대	3	알렉스 가랜드	"세상이 둘로 갈라졌다.
당신은 어느 편인가?

극단적 분열로 역사상 최악의 내전이 벌어진 미국.
연방 정부의 무차별 폭격과 서로를 향한 총탄이 빗발치는 상황 속에서
기자 ‘리(커스틴 던스트)’와
‘조엘(와그너 모라)’, ‘새미(스티븐 핸더슨)’, 그리고 ‘제시(케일리 스페니)’는
대통령을 인터뷰하기 위해 워싱턴으로 향한다.
 
내 편이 아니라면 바로 적이 되는 숨 막히는 현실,
이들은 전쟁의 순간을 누구보다 생생하게 마주하게 된다.

이것은 영화가 아니다.
진짜 공포다!"	20	2025-09-10	2025-09-30	1
