gno	minCpu	minGc	minRam	nomalCpu	nomalGc	nomalRam
1	18	8	8	44	34	16
2	35	17	8	73	34	16
3	13	12	8	33	36	16
4	26	8	8	73	34	16
5	9	13	8	34	32	16
6	21	9	8	35	16	16
7	13	13	8	54	35	16
8	26	12	8	64	32	16
9	23	16	8	82	34	16
10	21	19	8	35	16	16
11	23	16	12	44	36	16
12	21	6	8	35	16	16
13	38	16	8	84	42	16
14	63	23	16	73	47	32
15	1	1	2	23	12	4
16	26	19	8	73	45	16
17	3	14	8	33	16	16
18	21	6	8	35	16	16
19	2	10	8	44	22	16
20	21	6	8	64	32	16
21	2	1	4	10	12	8
22	35	16	8	73	32	16
23	3	14	8	33	16	16
24	26	24	8	64	32	16
25	18	16	8	44	36	16
26	26	6	8	35	16	16
27	32	23	8	82	42	16
28	63	23	12	73	42	16
29	9	19	4	33	32	8
30	21	13	8	64	32	16
31	23	16	8	70	34	16
32	26	16	8	64	36	16
33	1	1	2	23	12	4
34	26	19	8	64	32	16
35	32	23	8	84	42	16
