bgno	gno	uno	date
1	12	3	2026-04-01
2	7	1	2026-04-02
3	25	6	2026-04-03
4	3	2	2026-04-04
5	18	9	2026-04-05
6	30	4	2026-04-06
7	9	7	2026-04-07
8	14	5	2026-04-09
9	2	8	2026-04-10
10	35	10	2026-04-11
11	6	3	2026-04-12
12	21	1	2026-04-13
13	17	6	2026-04-14
14	8	2	2026-04-16
15	28	9	2026-04-17
16	13	4	2026-04-18
17	4	7	2026-04-19
18	23	5	2026-04-20
19	10	8	2026-04-22
20	31	10	2026-04-23
21	1	3	2026-04-24
22	26	1	2026-04-25
23	19	6	2026-04-27
24	5	2	2026-04-28
25	33	9	2026-04-29
26	15	4	2026-04-30
27	27	7	2026-04-30
28	11	5	2026-04-30
29	24	8	2026-05-02
30	20	10	2026-05-03
31	34	3	2026-05-04
32	16	1	2026-05-05
33	11	6	2026-05-06
34	22	2	2026-05-08
35	29	9	2026-05-09
36	10	4	2026-05-10
37	18	7	2026-05-11
38	3	5	2026-05-13
39	28	8	2026-05-14
40	11	10	2026-05-15
41	32	3	2026-05-16
42	34	1	2026-05-18
43	21	6	2026-05-19
44	16	2	2026-05-20
45	17	9	2026-05-21
46	28	4	2026-05-23
47	35	7	2026-05-24
48	23	5	2026-05-25
49	10	8	2026-05-26
50	7	10	2026-05-28
51	12	3	2026-05-29
52	7	1	2026-05-30
53	25	6	2026-05-31
54	3	2	2026-06-01
55	18	9	2026-06-02
56	30	4	2026-06-04
57	9	7	2026-06-05
58	14	5	2026-06-06
59	2	8	2026-06-07
60	35	10	2026-06-09
61	6	3	2026-06-10
62	21	1	2026-06-11
63	17	6	2026-06-12
64	8	2	2026-06-14
65	28	9	2026-06-15
66	13	4	2026-06-16
67	4	7	2026-06-17
68	23	5	2026-06-19
69	10	8	2026-06-20
70	31	10	2026-06-21
71	1	3	2026-06-22
72	26	1	2026-06-24
73	19	6	2026-06-25
74	5	2	2026-06-26
75	33	9	2026-06-27
76	15	4	2026-06-29
77	27	7	2026-06-30
78	11	5	2026-07-02
79	24	8	2026-07-03
80	20	10	2026-07-05
81	34	3	2026-07-07
82	16	1	2026-07-09
83	11	6	2026-07-11
84	22	2	2026-07-13
85	29	9	2026-07-15
86	10	4	2026-07-17
87	18	7	2026-07-19
88	3	5	2026-07-21
89	28	8	2026-07-23
90	11	10	2026-07-25
91	32	3	2026-07-27
92	34	1	2026-07-29
93	21	6	2026-07-30
94	16	2	2026-07-31
95	17	9	2026-08-03
96	28	4	2026-08-07
97	35	7	2026-08-12
98	23	5	2026-08-16
99	10	8	2026-08-19
100	7	10	2026-08-22
