cpuno	cpuname
1	i3-2100
2	i5-2500
3	i5-2500K
4	i3-3220
5	i5-3470
6	i7-2600
7	i7-2600K
8	i3-4130
9	i5-4570
10	i7-3770
11	i7-3770K
12	i3-6100
13	i5-6500
14	i7-4770
15	i7-4770K
16	i3-7100
17	i3-8100
18	i5-7600K
19	i7-6700
20	i7-6700K
21	Ryzen 5 1600
22	Ryzen 5 1600X
23	i5-8400
24	i7-7700
25	i7-7700K
26	Ryzen 5 2600
27	Ryzen 5 2600X
28	i5-9400F
29	i5-9400
30	i5-9600
31	i5-9600KF
32	i5-9600K
33	i7-8700
34	i7-8700K
35	Ryzen 5 3600
36	Ryzen 5 3600X
37	i5-10400F
38	i5-10400
39	i5-10600
40	i5-10600KF
41	i5-10600K
42	i7-9700
43	i7-9700KF
44	i7-9700K
45	i9-9900
46	i9-9900KF
47	i9-9900K
48	i5-11400F
49	i5-11400
50	i5-11600
51	i5-11600KF
52	i5-11600K
53	i7-10700F
54	i7-10700
55	i7-10700KF
56	i7-10700K
57	i9-10900F
58	i9-10900
59	i9-10900KF
60	i9-10900K
61	i5-12400F
62	i5-12400
63	Ryzen 5 5600
64	Ryzen 5 5600X
65	i7-11700F
66	i7-11700
67	i7-11700K
68	i7-11700KF
69	i5-12600
70	i5-12600KF
71	i5-12600K
72	Ryzen 7 5800
73	Ryzen 7 5800X
74	Ryzen 7 5800X3D
75	i9-11900F
76	i9-11900
77	i9-11900KF
78	i9-11900K
79	i5-13400F
80	i5-13400
81	i7-12700F
82	i7-12700
83	i7-12700KF
84	i7-12700K
85	Ryzen 5 7600
86	Ryzen 5 7600X
87	i5-13600
88	i5-13600KF
89	i5-13600K
90	i9-12900F
91	i9-12900
92	i9-12900KF
93	i9-12900K
94	i5-14400F
95	i5-14400
96	i7-13700F
97	i7-13700
98	i7-13700KF
99	i7-13700K
100	Ryzen 7 7700
101	Ryzen 7 7700X
102	i5-14600
103	i5-14600KF
104	i5-14600K
105	i9-13900F
106	i9-13900
107	i9-13900KF
108	i9-13900K
109	i7-14700F
110	i7-14700
111	i7-14700KF
112	i7-14700K
113	Ryzen 7 7800X3D
114	Ryzen 9 7950X
115	Ryzen 9 7950X3D
116	i9-14900F
117	i9-14900
118	i9-14900KF
119	i9-14900K
120	i9-14900KS
121	Ryzen 7 9700X
122	Ryzen 9 9900X
123	Ryzen 9 9950X
